org_id remap_id
U_10384829 0
U_10521268 1
U_2464581 2
U_8452203 3
U_10501649 4
U_2668185 5
U_9073332 6
U_198431 7
U_2026 8
U_8198426 9
U_475607 10
U_10623117 11
U_1912507 12
U_1556110 13
U_10293775 14
U_88735 15
U_6450229 16
U_10865194 17
U_7121235 18
U_7036685 19
U_9477264 20
U_526416 21
U_9244987 22
U_571745 23
U_10565241 24
U_9947675 25
U_10888558 26
U_11469418 27
U_143998 28
U_9708913 29
U_9425437 30
U_10891921 31
U_5383321 32
U_10908530 33
U_9816363 34
U_10160576 35
U_659884 36
U_9374299 37
U_9678865 38
U_9254097 39
U_4442870 40
U_10136100 41
U_10664478 42
U_10874309 43
U_8074774 44
U_6641648 45
U_90135 46
U_11682881 47
U_427196 48
U_4659472 49
U_10394686 50
U_4686480 51
U_6141311 52
U_10091710 53
U_10244936 54
U_10766168 55
U_8037239 56
U_9216319 57
U_8435188 58
U_8693144 59
U_1093268 60
U_7199341 61
U_10607397 62
U_11030674 63
U_8871280 64
U_10737825 65
U_8571551 66
U_9677627 67
U_486986 68
U_10538163 69
U_1506930 70
U_6967228 71
U_8490281 72
U_7416702 73
U_6310375 74
U_7663063 75
U_10373560 76
U_138129 77
U_100520 78
U_2954967 79
U_9743796 80
U_8264081 81
U_4465258 82
U_10268377 83
U_8136133 84
U_9745405 85
U_1663241 86
U_8806590 87
U_207150 88
U_6517426 89
U_86960 90
U_7051156 91
U_6666244 92
U_10502579 93
U_11489460 94
U_32106 95
U_10870033 96
U_10495799 97
U_685894 98
U_7051860 99
U_1940 100
U_10008650 101
U_317275 102
U_9043118 103
U_11175027 104
U_10576452 105
U_7678768 106
U_2529256 107
U_9476589 108
U_28576 109
U_6697780 110
U_139486 111
U_6994454 112
U_8971444 113
U_11609056 114
U_6167686 115
U_7137178 116
U_5307359 117
U_7712904 118
U_138468 119
U_541584 120
U_9199013 121
U_10277836 122
U_7748818 123
U_8119646 124
U_10464918 125
U_9245433 126
U_10675887 127
U_229422 128
U_11742593 129
U_10093394 130
U_3040807 131
U_10766859 132
U_1583894 133
U_2453745 134
U_8715981 135
U_7174483 136
U_6540172 137
U_4589716 138
U_10505782 139
U_10902254 140
U_10246172 141
U_6343264 142
U_4366382 143
U_237893 144
U_9596808 145
U_11452317 146
U_8418869 147
U_72047 148
U_10502789 149
U_1882606 150
U_10664673 151
U_8403650 152
U_10251504 153
U_6887653 154
U_6707992 155
U_10874350 156
U_9703020 157
U_9483489 158
U_6772019 159
U_8715883 160
U_11670193 161
U_10556822 162
U_2341951 163
U_7823015 164
U_2820785 165
U_3203497 166
U_10287293 167
U_331665 168
U_9618948 169
U_6612395 170
U_10566689 171
U_6179769 172
U_10374954 173
U_7131834 174
U_9733618 175
U_401685 176
U_9142582 177
U_9453505 178
U_1830325 179
U_11360391 180
U_177286 181
U_11986358 182
U_9224092 183
U_10516095 184
U_2678258 185
U_11971914 186
U_8057970 187
U_11696440 188
U_4308089 189
U_10856888 190
U_7016630 191
U_3043984 192
U_8520713 193
U_4374735 194
U_704306 195
U_10462898 196
U_6466853 197
U_6900341 198
U_2978478 199
U_362947 200
U_8243173 201
U_6849575 202
U_9614436 203
U_2002436 204
U_11594414 205
U_352098 206
U_3251153 207
U_9549558 208
U_10361404 209
U_9975452 210
U_7383103 211
U_10213488 212
U_9640237 213
U_9734340 214
U_10911816 215
U_7416143 216
U_10863150 217
U_7192573 218
U_10541134 219
U_7580294 220
U_8969302 221
U_2355714 222
